GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EMS Monolith,com.company.ems.util,EmployeeComparator,0,19,0,2,0,5,0,3,0,2
EMS Monolith,com.company.ems.dto,ProjectUpdateRequestDTO,0,17,0,0,0,4,0,5,0,5
EMS Monolith,com.company.ems.dto,ProjectResponseDTO,0,24,0,0,0,5,0,7,0,7
EMS Monolith,com.company.ems.dto,ProjectRequestDTO,0,17,0,0,0,4,0,5,0,5
EMS Monolith,com.company.ems.dto,DepartmentResponseDTO,0,17,0,0,0,4,0,5,0,5
EMS Monolith,com.company.ems.dto,DepartmentUpdateRequestDTO,0,10,0,0,0,3,0,3,0,3
EMS Monolith,com.company.ems.dto,DepartmentRequestDTO,0,10,0,0,0,3,0,3,0,3
EMS Monolith,com.company.ems.dto,EmployeeResponseDTO,0,45,0,0,0,8,0,13,0,13
EMS Monolith,com.company.ems.dto,EmployeeUpdateRequestDTO,0,38,0,0,0,7,0,11,0,11
EMS Monolith,com.company.ems.dto,EmployeeRequestDTO,0,38,0,0,0,7,0,11,0,11
EMS Monolith,com.company.ems,EmsApplication,5,3,0,0,2,1,1,1,1,1
EMS Monolith,com.company.ems.exception,DepartmentNotFoundException,0,4,0,0,0,2,0,1,0,1
EMS Monolith,com.company.ems.exception,InvalidProjectDurationException,4,0,0,0,2,0,1,0,1,0
EMS Monolith,com.company.ems.exception,EmployeeNotFoundException,0,4,0,0,0,2,0,1,0,1
EMS Monolith,com.company.ems.exception,GlobalExceptionHandler,64,127,0,0,18,24,2,7,2,7
EMS Monolith,com.company.ems.exception,ProjectNotFoundException,0,4,0,0,0,2,0,1,0,1
EMS Monolith,com.company.ems.model,Department,7,23,0,0,1,5,2,6,2,6
EMS Monolith,com.company.ems.model,Project,7,24,0,0,1,5,2,7,2,7
EMS Monolith,com.company.ems.model,Employee,13,45,0,0,2,8,3,13,3,13
EMS Monolith,com.company.ems.service,ProjectServiceImpl,27,293,3,5,8,66,3,12,0,11
EMS Monolith,com.company.ems.service,ReportGeneratorService,7,21,0,0,2,8,0,3,0,3
EMS Monolith,com.company.ems.service,EmployeeServiceImpl,43,464,0,10,11,103,1,20,1,15
EMS Monolith,com.company.ems.service,DepartmentServiceImpl,9,273,0,0,3,63,0,11,0,11
EMS Monolith,com.company.ems.controller,ProjectController,0,176,0,2,0,39,0,8,0,7
EMS Monolith,com.company.ems.controller,EmployeeController,25,221,0,2,7,47,1,9,1,8
EMS Monolith,com.company.ems.controller,DepartmentController,0,176,0,2,0,39,0,8,0,7
